Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Setup React JEST,SCRUM-55,10054,Subtask,Rejected/Abandoned,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:32 PM,15/Oct/24 2:39 PM,17/Oct/24 8:47 PM,15/Oct/24 2:39 PM,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,,,,,,,,,,10000_*:*_1_*:*_444614_*|*_10003_*:*_1_*:*_0,,,,10003,Dashboard Overview Layout ,Done,15/Oct/24 2:39 PM
Setup React Redux,SCRUM-54,10053,Subtask,Rejected/Abandoned,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:32 PM,15/Oct/24 2:39 PM,17/Oct/24 8:47 PM,15/Oct/24 2:39 PM,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bj:,,,,,,,,,,,,,,10000_*:*_1_*:*_446571_*|*_10003_*:*_1_*:*_0,,,,10003,Dashboard Overview Layout ,Done,15/Oct/24 2:39 PM
Create navbar for dashboard page,SCRUM-53,10052,Subtask,Rejected/Abandoned,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:27 PM,15/Oct/24 2:39 PM,17/Oct/24 8:47 PM,15/Oct/24 2:39 PM,,0,,,,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bb:,,,,,,1.0,,,,,,,,10000_*:*_1_*:*_690888_*|*_10003_*:*_1_*:*_0,,,,10003,Dashboard Overview Layout ,Done,15/Oct/24 2:39 PM
Create react-router and base pages in react app,SCRUM-52,10051,Subtask,Rejected/Abandoned,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,Done,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,Faizan Ahmad,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,15/Oct/24 2:26 PM,15/Oct/24 2:39 PM,17/Oct/24 8:47 PM,15/Oct/24 2:39 PM,,0,,"Create a routing system in React using react-router and create base pages for dashboard, login, sign up, forgot password",,Faizan Ahmad,,712020:d22ea834-7c2b-424e-bb29-7ea02fa2ecbf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b3:,,,,,,1.0,,,,,,,,10000_*:*_1_*:*_790054_*|*_10003_*:*_1_*:*_0,,,,10003,Dashboard Overview Layout ,Done,15/Oct/24 2:39 PM
create validations in frontend,SCRUM-51,10050,Subtask,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 10:17 PM,10/Oct/24 10:17 PM,17/Oct/24 8:47 PM,,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,10048,Recruiter Upload Job Listing,To Do,10/Oct/24 10:17 PM
create job listing crud apis,SCRUM-50,10049,Subtask,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 10:17 PM,16/Oct/24 1:58 PM,17/Oct/24 8:47 PM,,,0,,,,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000an:,,,SCRUM Sprint 1,,,,,,,,,,,,,,,10048,Recruiter Upload Job Listing,In Progress,16/Oct/24 1:58 PM
Recruiter Upload Job Listing,SCRUM-49,10048,Story,In Progress,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,Tushar Kendre,712020:e3719cf1-3a50-4382-856f-673496718591,10/Oct/24 10:12 PM,16/Oct/24 1:58 PM,17/Oct/24 8:47 PM,,,0,,"As a recruiter, I want to upload a new job listing to the system so that candidates can view and apply for the position.

h3. Acceptance Test 1: Successful Job Listing Submission

* *Given* the recruiter is logged into the system,
* *When* the recruiter fills out all required job listing fields (e.g., title, description, requirements, location) and submits the form,
* *Then* the system should store the job listing in the database and display a confirmation message that the listing has been successfully created.

h3. Acceptance Test 2: Validation of Job Listing Fields

* *Given* the recruiter is filling out the job listing form,
* *When* the recruiter tries to submit the form with missing required fields (e.g., title, description),
* *Then* the system should display error messages next to the missing fields and prevent submission until all required fields are completed.



!image-20241011-022129.png|width=1359,height=736,alt=""image-20241011-022129.png""!",,Tushar Kendre,,712020:e3719cf1-3a50-4382-856f-673496718591,,,,,,,,,,10/Oct/24 10:21 PM;ug:254aada0-aaac-4ca7-957e-358a72aa43d1;image-20241011-022129.png;https://bu-se-team-4.atlassian.net/rest/api/3/attachment/content/10018,,,,,,,,,,,,,,,,,0|i000d1:,,,SCRUM Sprint 1,,,3.0,,,,,,,,,,,,,,In Progress,16/Oct/24 1:58 PM
View Billing History ,SCRUM-48,10047,Story,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,10/Oct/24 9:30 PM,10/Oct/24 10:04 PM,17/Oct/24 8:47 PM,,,0,,"Title: View Billing History  
   Description: As a user or recruiter, I want to view my billing history so that I can track all my past payments and subscription details.  
     - Task 1: As a developer, I want to implement an API that retrieves billing history from the database using Fastify and Prisma.
     - Task 2: As a frontend developer, I want to display billing history in a table format using React and Material UI, so that users can view their past payments.



!image-20241011-020402.png|width=1174,height=851,alt=""image-20241011-020402.png""!",,,,,,,,,,,,,,10/Oct/24 10:04 PM;ug:254aada0-aaac-4ca7-957e-358a72aa43d1;image-20241011-020402.png;https://bu-se-team-4.atlassian.net/rest/api/3/attachment/content/10013,,,,,,,,,,,,,,,,,0|i000af:,,,,,,,,,,,,,,,,,,,,To Do,10/Oct/24 9:30 PM
⁠Resume Analysis Against JD  ,SCRUM-47,10046,Story,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,10/Oct/24 9:29 PM,10/Oct/24 10:15 PM,17/Oct/24 8:47 PM,,,0,,"Title: Analyze Resumes Against Job Description  
   Description: As a recruiter, I want to view the analysis results of resumes against a specific job description so that I can easily identify the most suitable candidates.  
     - Task 1: As a developer, I want to implement a backend service that analyzes and ranks resumes based on job descriptions using Fastify and Prisma.
     - Task 2: As a frontend developer, I want to create a UI to display the analysis and ranking of resumes using React and Material UI.



!image-20241011-021554.png|width=1128,height=887,alt=""image-20241011-021554.png""!",,,,,,,,,,,,,,10/Oct/24 10:15 PM;ug:254aada0-aaac-4ca7-957e-358a72aa43d1;image-20241011-021554.png;https://bu-se-team-4.atlassian.net/rest/api/3/attachment/content/10016,,,,,,,,,,,,,,,,,0|i000a7:,,,,,,,,,,,,,,,,,,,,To Do,10/Oct/24 9:29 PM
Resume Upload Against Job Description (JD),SCRUM-46,10045,Story,To Do,SCRUM,ResumAI,software,Hemant Krishnakumar,712020:d2315bc4-13c9-4eb5-8323-0fe97bca7f84,,Medium,,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,Shubh Gupta,712020:a6754d88-9476-4974-bcb0-60f6f708325e,10/Oct/24 9:28 PM,10/Oct/24 10:15 PM,17/Oct/24 8:47 PM,,,0,,"Title: Upload Resume Against Job Description  
   Description: As a recruiter, I want to upload a job description and then upload multiple resumes against it, so that the system can match and analyze the resumes according to the job requirements.  
     - Task 1: As a developer, I want to create an API that allows recruiters to upload job descriptions and resumes using Fastify.
     - Task 2: As a frontend developer, I want to create a form that allows recruiters to upload job descriptions and resumes using React.

!image-20241011-021531.png|width=1008,height=993,alt=""image-20241011-021531.png""!",,,,,,,,,,,,,,10/Oct/24 10:15 PM;ug:254aada0-aaac-4ca7-957e-358a72aa43d1;image-20241011-021531.png;https://bu-se-team-4.atlassian.net/rest/api/3/attachment/content/10015,,,,,,,,,,,,,,,,,0|i0009z:,,,,,,,,,,,,,,,,,,,,To Do,10/Oct/24 9:28 PM
